Blur,VXQuery,SkyWalking,Hama,Wookie,HAWQ,Mnemonic,Graffito,TVM,SINGA,Flex,Tez,Gobblin,Atlas,PhotArk,Celix,DataFu,Wink,IoTDB,Sentry,Allura,Geode,Solr,NMaven,ActiveMQ,Alois,Jena,Airavata,Iceberg,Traffic Control,Synapse,TinkerPop,Tuscany,Joshua,Droids,Qpid,stdcxx,Syncope,River,Mesos,Yoko,Lens,Thrift,NPanday,Libcloud,Harmony,Tephra,Clerezza,Quickstep,HCatalog,Unomi,VCL,Pinot,APISIX,S2Graph,Deltacloud,Stanbol,UIMA,Flume,Etch,Amaterasu,Cordova,Click,Shiro,Buildr,Empire-db,Daffodil,Omid,Knox,Hermes,Derby,Falcon,Olingo,Edgent,Rya,Open Climate Workbench,JDO,MADlib,Kudu,OFBiz,Parquet,Samza,Juneau,Mynewt,OpenJPA,Ranger,Isis,Kato,Druid,AriaTosca,Openmeetings,Crunch,Onami,DolphinScheduler,ODF Toolkit,CXF,Griffin,Shindig,ServiceComb,Tashi,Bluesky,Jackrabbit,ManifoldCF,Fluo,Trafodion,ACE,Slider,Twill,DeltaSpike,SAMOA,Stonehenge,Imperius,Eagle,ECharts,Whirr,AsterixDB,Chemistry,Superset,REEF,Olio,Lucene.NET,Aries,JSPWiki,Cayenne,Phoenix,Storm,Pulsar,Amber,jclouds,Kalumet,HTrace,Metron,Curator,DataSketches,Impala,Pirk,Giraph,cTAKES,Oozie,Streams,Ambari,OpenWhisk,OpenWebBeans,Wave,Dubbo,Trinidad,Calcite,Tajo,Ivy,Accumulo,Pig,Ripple,Taverna,Chukwa,Fineract,Abdera,Corinthia,FtpServer,Zeta Components,ESME,PDFBox,CouchDB,OODT,ShardingSphere,Heraldry,BatchEE,Apex,Drill,Gearpump,Sqoop,Gossip,Cassandra,DeviceMap,Provisionr,Zipkin,DistributedLog,Lucy,FreeMarker,Gora,XAP,Ignite,SystemML,Agila,Subversion,Aurora,Kylin,WebWork 2,Nutch,Ode,Bigtop,EasyAnt,OpenAz,Bloodhound,Wicket,Felix,Ratis,Lokahi,HISE,Brooklyn,MRQL,Bean Validation,NetBeans,Zeppelin,Stratos,Tamaya,Flink,Sling,OpenOffice.org,Hadoop Development Tools (HDT),Nuvem,Beehive,Rave,CloudStack,Roller,Sirona,Johnzon,Myriad,Helix,TripleSoup,Any23,OpenNLP,PLC4X,Kafka,NiFi,SIS,MyFaces,Sanselan,Airflow,S4,Spark,Kitty,Usergrid,Muse,MRUnit,iota,HORN,RocketMQ,DirectMemory,mod_ftp,Kabuki,iBATIS,Pivot,Traffic Server,MetaModel,Climate Model Diagnostic Analyzer,AWF,ServiceMix,Tika,Guacamole,PredictionIO,Concerted,CarbonData,Hudi,Groovy,OGNL,Warble,CommonsRDF,RCF,Weex,JuiCE,Directory,Beam
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
1535,890.0,4403.0,945.0,1004.0,3840,461.0,758.0,7383.0,1279.0,11841,1555.0,2660.0,2144.0,398.0,1077.0,528.0,2684.0,56066,1488.0,1052.0,1448.0,1007,727.0,8095,390.0,3243,2525.0,3255.0,1705,1183.0,2297,15883,503.0,880.0,7560,1382,1103,2568.0,2536,2113.0,1216,3185.0,1249,881.0,3860,275.0,1428.0,994.0,1459.0,190.0,1073.0,10104,997,246.0,1555.0,4683,5295,1647.0,1840.0,2741.0,2860,1087.0,1632.0,576.0,786.0,2578,406.0,404.0,294.0,1553.0,976.0,765.0,1139.0,765.0,383.0,1339,459.0,1143,2800,448.0,1275.0,685,652.0,149.0,2802,4365,1008.0,10232.0,525.0,2533,731,734.0,1328.0,1113.0,8806,960.0,5879,2404.0,275.0,699.0,2881.0,875.0,374.0,4221.0,658.0,1657,689.0,2109,746.0,1049.0,404.0,2180.0,5330.0,360.0,1466,387.0,9174.0,2033,705.0,2563.0,2631.0,3699,2558,1030.0,3271.0,3144,504.0,1406,448.0,681.0,1985,168.0,1763.0,2165.0,377,488.0,957.0,853.0,1816.0,4846,5422.0,888,2704.0,8146,2762,966.0,1219.0,815,1400.0,1016.0,416.0,1024,532.0,497.0,1428,713,214.0,1730.0,762,612.0,1434,1795.0,243.0,734.0,470.0,1701,2639,727,531.0,285.0,1034.0,712.0,89.0,917.0,555.0,1027.0,232.0,438.0,1688.0,1814.0,1762.0,322.0,2225.0,1856,595.0,4562.0,321.0,2793.0,610.0,3010.0,207.0,640,615.0,1217.0,343.0,221.0,239.0,281.0,189.0,1031.0,580.0,560.0,3227,572,1790,2632,28221,142.0,323.0,1647,1903.0,27611,3535,786.0,147.0,600.0,2222.0,322.0,738.0,1243.0,1790,2438,2636.0,72.0,4048.0,285.0,74.0,547.0,2852.0,136.0,3815.0,283.0,87.0,93.0,99.0,239.0,489.0,69.0,,127.0,1812.0,203.0,73.0,21.0,236.0,1480.0,74.0,530.0,,47.0,91.0,233.0,583.0,1064.0,,30.0,,,22.0,,
354,143.0,494.0,164.0,218.0,501,76.0,123.0,906.0,108.0,1207,187.0,172.0,311.0,104.0,66.0,23.0,203.0,7752,192.0,357.0,172.0,161,189.0,1020,11.0,358,347.0,222.0,183,390.0,645,3182,53.0,96.0,1549,165,118,231.0,215,202.0,96,219.0,211,138.0,352,27.0,276.0,329.0,129.0,59.0,173.0,568,141,48.0,110.0,654,657,157.0,462.0,,631,174.0,220.0,127.0,160.0,261,35.0,83.0,44.0,163.0,138.0,126.0,154.0,71.0,63.0,115,47.0,107,297,32.0,144.0,91,183.0,,427,690,185.0,412.0,260.0,449,319,78.0,104.0,258.0,1272,158.0,730,184.0,64.0,74.0,339.0,276.0,36.0,405.0,64.0,275,45.0,379,16.0,151.0,50.0,266.0,298.0,77.0,137,97.0,995.0,154,70.0,195.0,416.0,612,316,138.0,162.0,427,18.0,177,41.0,69.0,218,29.0,104.0,155.0,57,42.0,75.0,77.0,926.0,689,527.0,156,214.0,867,310,100.0,152.0,138,170.0,180.0,38.0,66,53.0,57.0,351,86,94.0,23.0,149,61.0,145,14.0,27.0,4.0,47.0,324,181,100,58.0,52.0,92.0,59.0,9.0,82.0,71.0,290.0,88.0,13.0,233.0,283.0,252.0,,166.0,255,94.0,307.0,43.0,271.0,121.0,171.0,15.0,120,104.0,160.0,68.0,94.0,37.0,10.0,21.0,106.0,84.0,58.0,488,122,208,586,2040,26.0,49.0,272,265.0,5862,645,206.0,124.0,73.0,193.0,8.0,37.0,182.0,734,226,707.0,,296.0,58.0,,143.0,267.0,22.0,572.0,69.0,50.0,18.0,14.0,65.0,76.0,22.0,,8.0,433.0,25.0,7.0,,26.0,92.0,6.0,25.0,,,7.0,30.0,50.0,198.0,,,,,,,
94,40.0,83.0,49.0,34.0,124,42.0,31.0,176.0,6.0,385,49.0,16.0,63.0,35.0,41.0,,50.0,344,24.0,131.0,38.0,46,41.0,306,,76,68.0,27.0,46,88.0,155,707,17.0,18.0,453,36,20,67.0,60,67.0,20,29.0,55,37.0,41,5.0,56.0,87.0,28.0,14.0,49.0,59,33,6.0,24.0,115,111,42.0,38.0,,112,38.0,34.0,46.0,25.0,19,,10.0,,54.0,41.0,25.0,64.0,23.0,17.0,22,5.0,13,62,,32.0,46,68.0,,105,127,60.0,269.0,137.0,141,29,39.0,25.0,38.0,269,12.0,204,59.0,17.0,11.0,80.0,113.0,8.0,101.0,19.0,74,22.0,69,4.0,35.0,12.0,54.0,96.0,17.0,49,35.0,82.0,47,24.0,55.0,82.0,146,49,43.0,15.0,93,16.0,30,3.0,19.0,89,6.0,30.0,49.0,16,10.0,24.0,22.0,60.0,189,96.0,57,59.0,88,77,19.0,35.0,13,42.0,55.0,6.0,32,4.0,11.0,101,22,32.0,4.0,69,6.0,32,,6.0,,,110,48,22,13.0,14.0,38.0,14.0,,14.0,16.0,175.0,9.0,11.0,41.0,55.0,100.0,,53.0,66,23.0,97.0,,67.0,31.0,17.0,2.0,45,29.0,43.0,12.0,9.0,7.0,,17.0,19.0,20.0,19.0,152,26,84,115,491,,35.0,55,58.0,517,147,73.0,1.0,33.0,25.0,,6.0,24.0,345,52,67.0,,64.0,20.0,,22.0,35.0,3.0,155.0,11.0,19.0,6.0,13.0,11.0,33.0,1.0,,,83.0,,5.0,,25.0,22.0,,2.0,,,,21.0,10.0,50.0,,,,,,,
23,11.0,14.0,20.0,15.0,41,7.0,21.0,105.0,12.0,124,14.0,8.0,13.0,5.0,31.0,,20.0,58,9.0,45.0,9.0,6,17.0,43,,19,18.0,7.0,19,28.0,48,256,9.0,2.0,129,10,6,8.0,3,36.0,16,6.0,11,6.0,11,,20.0,33.0,,18.0,17.0,12,16,,6.0,31,28,18.0,3.0,,53,13.0,22.0,12.0,4.0,4,,11.0,,14.0,1.0,8.0,10.0,,4.0,12,4.0,1,12,,12.0,9,24.0,,31,25,8.0,10.0,51.0,44,9,10.0,4.0,5.0,82,2.0,69,27.0,5.0,2.0,32.0,33.0,4.0,35.0,3.0,25,2.0,14,,11.0,2.0,4.0,29.0,4.0,24,12.0,27.0,16,,8.0,26.0,18,26,10.0,6.0,24,4.0,12,,7.0,17,2.0,11.0,33.0,15,5.0,3.0,8.0,40.0,101,64.0,16,26.0,36,18,5.0,12.0,4,13.0,15.0,0.0,16,6.0,,33,6,3.0,4.0,34,,17,,3.0,,,38,12,0,,8.0,15.0,7.0,,,8.0,28.0,8.0,0.0,17.0,23.0,38.0,,11.0,19,4.0,21.0,,15.0,5.0,3.0,1.0,25,2.0,15.0,,,5.0,,1.0,15.0,4.0,,98,12,23,45,212,,2.0,22,26.0,157,54,56.0,0.0,0.0,6.0,,2.0,7.0,183,17,25.0,,19.0,2.0,,5.0,21.0,0.0,39.0,,,,7.0,4.0,4.0,,,,41.0,,,,,4.0,,3.0,,,,7.0,,17.0,,,,,,,
18,3.0,,5.0,1.0,17,2.0,4.0,,1.0,61,12.0,,8.0,8.0,1.0,,3.0,66,9.0,22.0,2.0,6,6.0,9,,10,12.0,2.0,7,18.0,25,94,0.0,,70,8,6,5.0,8,7.0,5,2.0,0,0.0,3,,1.0,23.0,,1.0,5.0,7,6,,0.0,19,17,5.0,,,17,2.0,8.0,7.0,8.0,6,,4.0,,2.0,,,6.0,,5.0,13,0.0,0,6,,51.0,2,13.0,,9,12,16.0,14.0,29.0,18,2,8.0,,2.0,23,1.0,29,2.0,,,8.0,12.0,0.0,19.0,1.0,15,,18,,6.0,,2.0,15.0,3.0,8,2.0,32.0,7,,6.0,13.0,10,12,1.0,0.0,29,0.0,20,,4.0,22,2.0,6.0,18.0,8,,4.0,2.0,5.0,39,11.0,13,14.0,23,17,2.0,,8,,6.0,2.0,3,0.0,,12,4,10.0,2.0,17,,10,,2.0,,,32,8,0,,,4.0,4.0,,,0.0,5.0,4.0,,8.0,3.0,7.0,,10.0,23,2.0,11.0,,13.0,7.0,2.0,,16,0.0,7.0,,,1.0,,0.0,0.0,2.0,,32,4,26,27,84,,0.0,11,11.0,52,21,7.0,0.0,0.0,13.0,,0.0,2.0,84,9,17.0,,,,,,5.0,,10.0,,,,2.0,,0.0,,,,23.0,,,,,0.0,,0.0,,,,10.0,,,,,,,,,
11,,,10.0,4.0,10,,0.0,,,16,1.0,,0.0,0.0,3.0,,4.0,7,4.0,9.0,0.0,2,3.0,6,,8,1.0,,0,4.0,12,50,3.0,,43,2,0,2.0,3,1.0,2,,0,,0,,1.0,3.0,,0.0,0.0,4,4,,4.0,4,9,10.0,,,9,6.0,2.0,9.0,0.0,2,,0.0,,2.0,,,0.0,,1.0,4,0.0,0,6,,,0,4.0,,5,9,1.0,0.0,17.0,13,4,,,,16,,17,0.0,,,2.0,2.0,,10.0,0.0,4,,6,,8.0,,,30.0,,2,1.0,8.0,8,,2.0,1.0,4,13,0.0,0.0,73,0.0,4,,0.0,12,2.0,1.0,4.0,0,,4.0,1.0,3.0,19,8.0,1,,16,2,4.0,,0,,2.0,,4,,,10,4,0.0,0.0,13,,2,,,,,6,2,4,,,,0.0,,,0.0,4.0,0.0,,3.0,1.0,3.0,,,6,0.0,7.0,,3.0,3.0,,,2,,3.0,,,0.0,,,0.0,0.0,,16,6,3,8,52,,,3,5.0,36,9,,,,,,2.0,6.0,31,0,7.0,,,,,,,,9.0,,,,,,,,,,7.0,,,,,3.0,,2.0,,,,0.0,,,,,,,,,
7,,,2.0,0.0,3,,2.0,,,14,,,0.0,0.0,,,0.0,4,2.0,4.0,,0,4.0,7,,4,,,0,2.0,2,27,,,17,7,2,0.0,2,,10,,0,,0,,5.0,,,,1.0,0,0,,0.0,0,3,2.0,,,10,1.0,0.0,0.0,0.0,0,,2.0,,0.0,,,,,0.0,0,,0,2,,,2,2.0,,4,4,,,7.0,2,0,,,,7,,6,,,,2.0,5.0,,2.0,,0,,2,,2.0,,,2.0,,0,1.0,1.0,2,,,,2,0,2.0,,1,,4,,,4,0.0,2.0,8.0,2,,4.0,0.0,4.0,17,,2,,7,0,,,2,,,,0,,,0,4,,,14,,0,,,,,6,0,0,,,,,,,,1.0,0.0,,1.0,1.0,,,,8,0.0,4.0,,,0.0,,,4,,0.0,,,,,,2.0,0.0,,7,4,6,6,34,,,3,2.0,21,4,,,,,,0.0,3.0,4,4,0.0,,,,,,,,4.0,,,,,,,,,,7.0,,,,,0.0,,,,,,0.0,,,,,,,,,
3,,,1.0,0.0,6,,0.0,,,4,,,0.0,,,,,0,0.0,2.0,,2,1.0,1,,4,,,0,,3,10,,,14,1,2,,4,,0,,0,,0,,0.0,,,,0.0,0,0,,0.0,2,2,,,,3,0.0,0.0,0.0,,0,,0.0,,,,,,,,0,,2,2,,,0,3.0,,2,6,,,2.0,2,0,,,,2,,7,,,,3.0,0.0,,,,5,,2,,0.0,,,,,0,0.0,,4,,,,5,4,,,3,,6,,,8,,2.0,,0,,,0.0,0.0,2,,0,,4,2,,,0,,,,2,,,4,4,,,0,,1,,,,,4,2,0,,,,,,,,2.0,0.0,,1.0,,,,,10,0.0,2.0,,,,,,8,,0.0,,,,,,,,,0,0,4,4,17,,,2,3.0,18,6,,,,,,0.0,0.0,2,2,0.0,,,,,,,,1.0,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,
1,,,,,2,,,,,8,,,2.0,,,,,4,0.0,1.0,,0,,0,,0,,,0,,0,7,,,3,2,0,,0,,0,,0,,0,,0.0,,,,,1,0,,,0,1,,,,2,0.0,0.0,,,0,,2.0,,,,,,,,4,,0,0,,,2,4.0,,0,5,,,6.0,0,2,,,,0,,0,,,,,,,,,0,,2,,,,,,,4,,,0,,,,4,7,,,0,,4,,,0,,,,0,,,,0.0,1,,1,,4,0,,,2,,,,0,,,0,0,,,6,,0,,,,,2,0,0,,,,,,,,,,,,,,,,5,,,,,,,,3,,0.0,,,,,,,,,4,6,4,0,15,,,0,,17,6,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
2,,,,,0,,,,,2,,,,,,,,0,,,,0,,2,,1,,,0,,3,2,,,2,0,2,,2,,0,,0,,0,,,,,,,0,0,,,0,3,,,,0,,,,,2,,,,,,,,,,2,,0,0,,,0,,,0,1,,,,0,0,,,,0,,2,,,,,,,,,1,,2,,,,,,,0,,,2,,,,0,0,,,2,,2,,,0,,,,0,,,,,4,,0,,0,2,,,0,,,,2,,,2,0,,,0,,0,,,,,4,0,0,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,2,0,6,4,12,,,0,,2,0,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
