Blur,VXQuery,SkyWalking,NetBeans,Hama,HAWQ,SINGA,Flex,Tez,ODF Toolkit,DistributedLog,Unomi,DataFu,S4,Geode,NMaven,Alois,Solr,Airavata,Synapse,stdcxx,Wave,Mesos,Taverna,Lens,Climate Model Diagnostic Analyzer,Airflow,Tephra,DeviceMap,HCatalog,Wink,Falcon,UIMA,Cordova,Traffic Control,Weex,Hudi,Ratis,Shiro,Nuvem,xmlbeans,SAMOA,JSPWiki,Jena,Qpid,Myriad,Beam,JDO,Empire-db,MADlib,Mnemonic,TripleSoup,Graffito,Click,Yoko,Onami,DolphinScheduler,ACE,Hadoop Development Tools (HDT),CXF,Griffin,Shindig,Tuscany,Isis,ServiceComb,ManifoldCF,River,Rya,Trafodion,VCL,Twill,Lucy,TVM,Gobblin,Chemistry,S2Graph,Superset,REEF,Olio,Quickstep,Slider,Etch,Aries,Droids,IoTDB,Celix,Tamaya,jclouds,Curator,PDFBox,Pinot,Clerezza,DataSketches,Impala,lenya,Giraph,HORN,Edgent,HTrace,Ambari,Buildr,ActiveMQ,OpenAz,ECharts,Stonehenge,Allura,Imperius,Crunch,iota,SIS,PhotArk,Kato,Ripple,Mynewt,Fineract,AsterixDB,Pig,Joshua,MRUnit,Wookie,Usergrid,Corinthia,Oozie,Amber,Zeta Components,CouchDB,ShardingSphere,Bean Validation,Samza,Apex,Gearpump,Sqoop,Streams,Gossip,Brooklyn,Cassandra,Provisionr,Zipkin,Groovy,Derby,Gora,SystemML,Agila,Omid,Pulsar,Kylin,Spark,Ode,Ranger,Bigtop,Daffodil,Abdera,Chukwa,marmotta,Hermes,Wicket,Jackrabbit,Libcloud,Deltacloud,Directory,OpenWhisk,XAP,Lokahi,NPanday,TinkerPop,BatchEE,Ivy,Stratos,Juneau,FtpServer,Iceberg,Atlas,ServiceMix,OpenOffice.org,Trinidad,CloudStack,JuiCE,PredictionIO,Metron,Johnzon,Dubbo,Thrift,Helix,EasyAnt,HISE,Warble,ESME,AriaTosca,RocketMQ,Sentry,Roller,Kalumet,Kitty,Ignite,Stanbol,OpenNLP,Aurora,Traffic Server,DeltaSpike,NiFi,Kafka,Any23,Bloodhound,Fluo,MyFaces,FreeMarker,Open Climate Workbench,Flink,Bluesky,Eagle,Zeppelin,Parquet,Sling,MRQL,Flume,Knox,Drill,Storm,Sanselan,MetaModel,Kudu,APISIX,Muse,OpenJPA,Amaterasu,Lucene.NET,DirectMemory,Beehive,Tajo,Cayenne,Sirona,cTAKES,depot,Rave,AWF,Olingo,PLC4X,Pirk,spamassassin,Felix,Openmeetings,Harmony,Heraldry,Syncope,Concerted,geronimo,Nutch,juddi,Guacamole,cotton,Tashi,Accumulo,Whirr,Druid,Pivot,OpenWebBeans,CommonsRDF,Phoenix,Calcite,OFBiz,OODT,mod_ftp,socialsite,CarbonData,WebWork 2,Kabuki,OGNL,iBATIS,RCF,Subversion,tapestry,Tika
0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,110.0,278.0,7868,434,2686.0,170.0,10266.0,534.0,484.0,454.0,176.0,150.0,574.0,948.0,194.0,6.0,822.0,266.0,416.0,204,2714.0,454,554.0,386.0,106.0,4824,114.0,160.0,500.0,570.0,426.0,1708,518.0,832.0,944.0,814,434.0,980.0,36.0,334.0,270.0,1872,1360.0,1524.0,490.0,1444.0,146.0,222,506.0,330.0,28.0,284.0,280,270.0,82.0,754.0,298.0,84.0,4122,320.0,2918.0,3252,278.0,278.0,296.0,1020.0,668.0,1768.0,1096.0,214.0,190,1366.0,218.0,204.0,226.0,1078.0,244.0,246.0,242.0,418.0,278.0,742.0,266.0,566,162.0,226,700.0,126.0,486.0,274.0,372.0,248.0,750.0,2128,336.0,60.0,350.0,282.0,666.0,470.0,2904.0,146.0,448.0,392.0,308.0,66.0,142.0,228.0,138.0,184,96.0,286.0,974.0,824.0,592.0,216.0,264.0,60.0,332,514.0,134.0,604.0,190.0,396.0,1490.0,456.0,178.0,488.0,982.0,236,248.0,290.0,130.0,646.0,1238.0,50.0,150.0,1176.0,2254.0,132.0,406.0,224.0,92.0,348.0,200.0,3100.0,492.0,776,438.0,270,564.0,496.0,134.0,30.0,848.0,1696.0,562.0,384.0,352.0,1080.0,142.0,134.0,266.0,780,130.0,184.0,1342.0,86.0,164.0,848.0,664.0,3128.0,14656,1302.0,6180.0,36.0,912.0,1264.0,70.0,1012,2258.0,164.0,2118.0,60.0,16.0,332,228.0,588.0,350.0,1822,64.0,70.0,868.0,890.0,480.0,648,232.0,866.0,770.0,1548.0,202.0,326.0,72.0,1904.0,328.0,100.0,864.0,268.0,678.0,4018.0,278.0,1128,130.0,834.0,90.0,2346.0,3920.0,102.0,166,308.0,436.0,32.0,538.0,56.0,1008.0,196.0,604.0,126.0,652.0,68.0,220.0,72.0,500.0,90.0,134.0,124.0,112.0,5032.0,670.0,1680.0,4310.0,204.0,204.0,56.0,322.0,350.0,42.0,1340.0,,126.0,276.0,176.0,636.0,122.0,76.0,110.0,522.0,580.0,1376.0,72.0,22.0,,942.0,2350.0,,688.0,890.0,6.0,1364.0,,
44,26.0,30.0,810,68,398.0,18.0,1028.0,48.0,64.0,56.0,20.0,28.0,56.0,120.0,46.0,8.0,144.0,78.0,70.0,30,446.0,58,86.0,56.0,30.0,412,14.0,28.0,50.0,90.0,42.0,218,140.0,160.0,118.0,182,40.0,160.0,8.0,44.0,22.0,172,156.0,290.0,120.0,250.0,16.0,36,60.0,70.0,2.0,36.0,86,84.0,30.0,128.0,44.0,40.0,378,34.0,388.0,630,82.0,98.0,60.0,216.0,52.0,330.0,172.0,42.0,58,84.0,20.0,16.0,34.0,168.0,58.0,34.0,34.0,74.0,30.0,124.0,28.0,92,30.0,34,82.0,22.0,34.0,70.0,64.0,22.0,170.0,252,44.0,14.0,84.0,48.0,70.0,70.0,296.0,40.0,90.0,116.0,48.0,28.0,16.0,24.0,18.0,30,26.0,66.0,150.0,100.0,128.0,28.0,50.0,24.0,62,98.0,36.0,70.0,34.0,52.0,164.0,80.0,42.0,68.0,290.0,46,46.0,60.0,14.0,146.0,122.0,4.0,24.0,126.0,314.0,16.0,110.0,44.0,16.0,48.0,50.0,246.0,108.0,136,64.0,48,100.0,84.0,34.0,2.0,158.0,194.0,84.0,56.0,66.0,170.0,26.0,,48.0,138,22.0,30.0,282.0,32.0,24.0,76.0,128.0,280.0,1766,208.0,1030.0,6.0,116.0,170.0,12.0,174,186.0,38.0,50.0,,,84,38.0,84.0,118.0,222,40.0,14.0,176.0,126.0,46.0,94,28.0,184.0,158.0,156.0,22.0,64.0,10.0,174.0,48.0,22.0,186.0,60.0,180.0,452.0,24.0,188,12.0,126.0,10.0,288.0,182.0,10.0,20,54.0,110.0,,90.0,48.0,72.0,26.0,80.0,16.0,94.0,22.0,30.0,16.0,92.0,24.0,44.0,38.0,34.0,254.0,124.0,190.0,632.0,26.0,46.0,8.0,26.0,,2.0,122.0,,24.0,58.0,36.0,112.0,22.0,28.0,28.0,70.0,96.0,208.0,16.0,10.0,,188.0,218.0,,192.0,88.0,,134.0,,
22,8.0,2.0,236,8,144.0,,246.0,14.0,32.0,44.0,8.0,4.0,22.0,12.0,6.0,,46.0,22.0,26.0,6,100.0,26,32.0,20.0,,96,10.0,20.0,20.0,38.0,10.0,42,50.0,70.0,30.0,42,20.0,34.0,4.0,,6.0,56,40.0,98.0,26.0,82.0,24.0,8,22.0,18.0,,8.0,16,26.0,18.0,44.0,6.0,8.0,106,16.0,112.0,206,20.0,16.0,20.0,46.0,26.0,106.0,48.0,14.0,12,20.0,4.0,,12.0,40.0,24.0,24.0,20.0,18.0,16.0,32.0,4.0,26,10.0,36,44.0,6.0,12.0,14.0,22.0,16.0,58.0,62,12.0,2.0,18.0,36.0,6.0,18.0,48.0,10.0,26.0,58.0,16.0,4.0,8.0,8.0,12.0,10,12.0,22.0,44.0,30.0,52.0,,16.0,6.0,30,42.0,14.0,26.0,16.0,20.0,32.0,24.0,8.0,20.0,100.0,22,12.0,24.0,10.0,44.0,44.0,6.0,12.0,36.0,100.0,12.0,32.0,,8.0,14.0,16.0,46.0,44.0,42,16.0,12,38.0,10.0,12.0,4.0,52.0,46.0,14.0,28.0,14.0,62.0,,,12.0,30,2.0,12.0,116.0,6.0,6.0,30.0,28.0,84.0,590,68.0,366.0,,28.0,62.0,10.0,80,60.0,2.0,16.0,,,56,20.0,26.0,30.0,60,4.0,2.0,76.0,44.0,16.0,40,10.0,72.0,52.0,50.0,8.0,36.0,0.0,40.0,8.0,12.0,46.0,14.0,38.0,128.0,4.0,80,0.0,32.0,2.0,86.0,36.0,2.0,12,20.0,18.0,,50.0,14.0,26.0,8.0,16.0,4.0,30.0,6.0,14.0,6.0,26.0,10.0,14.0,8.0,24.0,60.0,30.0,66.0,190.0,4.0,12.0,0.0,,,,20.0,,8.0,12.0,8.0,36.0,26.0,14.0,12.0,24.0,24.0,70.0,8.0,4.0,,34.0,48.0,,64.0,24.0,,48.0,,
6,4.0,2.0,86,12,34.0,,124.0,0.0,6.0,6.0,0.0,,12.0,2.0,6.0,,14.0,18.0,14.0,8,50.0,12,22.0,18.0,,60,4.0,4.0,14.0,20.0,4.0,18,30.0,36.0,22.0,26,,14.0,,,2.0,6,20.0,56.0,12.0,30.0,2.0,2,6.0,,,8.0,6,4.0,12.0,14.0,6.0,,40,2.0,44.0,90,12.0,22.0,8.0,24.0,12.0,52.0,20.0,6.0,10,4.0,,,4.0,14.0,4.0,12.0,8.0,8.0,2.0,20.0,6.0,28,4.0,8,6.0,4.0,8.0,0.0,14.0,12.0,44.0,28,4.0,,4.0,6.0,6.0,4.0,22.0,6.0,4.0,12.0,10.0,2.0,6.0,0.0,,4,12.0,14.0,12.0,10.0,28.0,,4.0,6.0,14,16.0,12.0,6.0,8.0,4.0,8.0,12.0,2.0,6.0,86.0,6,6.0,16.0,6.0,14.0,12.0,,2.0,16.0,58.0,4.0,14.0,,,10.0,,30.0,16.0,14,4.0,8,6.0,6.0,2.0,,22.0,14.0,2.0,12.0,6.0,4.0,,,6.0,22,0.0,0.0,36.0,0.0,,10.0,12.0,44.0,236,24.0,158.0,,12.0,62.0,4.0,22,20.0,6.0,2.0,,,16,12.0,14.0,12.0,40,0.0,,32.0,24.0,8.0,18,,28.0,24.0,10.0,4.0,14.0,10.0,,6.0,4.0,16.0,10.0,14.0,42.0,2.0,34,6.0,10.0,2.0,26.0,16.0,,2,8.0,14.0,,10.0,0.0,8.0,2.0,4.0,8.0,10.0,4.0,8.0,0.0,6.0,0.0,,4.0,10.0,4.0,12.0,26.0,112.0,2.0,10.0,0.0,,,,8.0,,0.0,12.0,8.0,14.0,8.0,2.0,,6.0,20.0,24.0,0.0,,,10.0,24.0,,12.0,8.0,,,,
2,4.0,6.0,40,10,20.0,,58.0,,8.0,4.0,0.0,,2.0,,2.0,,6.0,12.0,18.0,2,14.0,6,12.0,12.0,,32,,2.0,0.0,6.0,2.0,14,,10.0,12.0,26,,8.0,,,0.0,10,4.0,48.0,2.0,34.0,6.0,2,,,,4.0,0,0.0,4.0,6.0,,,26,2.0,18.0,64,8.0,4.0,6.0,10.0,12.0,14.0,10.0,0.0,4,2.0,,,,4.0,6.0,,4.0,6.0,2.0,18.0,,18,2.0,4,10.0,0.0,2.0,0.0,2.0,2.0,30.0,32,2.0,,2.0,6.0,,2.0,10.0,2.0,0.0,16.0,4.0,0.0,2.0,0.0,,0,2.0,0.0,14.0,6.0,22.0,,4.0,4.0,6,0.0,8.0,4.0,8.0,0.0,2.0,0.0,6.0,4.0,44.0,0,2.0,2.0,0.0,4.0,,,4.0,12.0,26.0,2.0,12.0,,,2.0,,6.0,8.0,10,6.0,4,8.0,2.0,10.0,,18.0,10.0,,4.0,6.0,12.0,,,2.0,12,0.0,2.0,18.0,4.0,,8.0,12.0,26.0,122,12.0,76.0,,6.0,28.0,0.0,12,6.0,2.0,4.0,,,28,10.0,8.0,8.0,12,0.0,,6.0,10.0,6.0,24,,10.0,0.0,8.0,6.0,8.0,2.0,,6.0,0.0,24.0,6.0,6.0,28.0,,12,,6.0,0.0,10.0,2.0,,4,0.0,10.0,,8.0,0.0,,,6.0,4.0,12.0,0.0,2.0,2.0,8.0,8.0,,8.0,10.0,8.0,8.0,24.0,60.0,0.0,4.0,,,,,2.0,,,2.0,2.0,10.0,0.0,0.0,,2.0,4.0,14.0,0.0,,,6.0,8.0,,24.0,2.0,,,,
2,2.0,0.0,30,2,16.0,,40.0,,0.0,2.0,4.0,,,,0.0,,6.0,4.0,6.0,6,14.0,4,8.0,0.0,,20,,6.0,0.0,4.0,4.0,6,,4.0,10.0,20,,2.0,,,,6,6.0,26.0,0.0,10.0,2.0,2,,,,6.0,2,,,8.0,,,14,2.0,24.0,26,2.0,4.0,4.0,6.0,4.0,20.0,6.0,0.0,2,,,,,0.0,6.0,,0.0,6.0,0.0,2.0,,8,2.0,6,12.0,0.0,,0.0,4.0,0.0,6.0,10,0.0,,8.0,,,0.0,4.0,,6.0,6.0,2.0,,2.0,,,2,2.0,0.0,10.0,,12.0,,4.0,0.0,4,2.0,2.0,2.0,0.0,,4.0,8.0,,4.0,26.0,4,0.0,8.0,0.0,12.0,,,,14.0,18.0,2.0,4.0,,,2.0,,,4.0,6,0.0,4,12.0,0.0,4.0,,12.0,10.0,,4.0,6.0,8.0,,,0.0,10,0.0,0.0,14.0,0.0,,0.0,2.0,12.0,80,6.0,34.0,,6.0,10.0,0.0,12,4.0,8.0,,,,18,6.0,8.0,0.0,0,,,16.0,4.0,2.0,16,,8.0,2.0,6.0,2.0,8.0,0.0,,0.0,2.0,14.0,4.0,6.0,10.0,,14,,8.0,0.0,6.0,4.0,,4,2.0,14.0,,8.0,2.0,,,4.0,,4.0,0.0,4.0,,6.0,,,2.0,,0.0,6.0,4.0,32.0,0.0,6.0,,,,,0.0,,,0.0,2.0,4.0,4.0,0.0,,,4.0,4.0,,,,6.0,,,,,,,,
2,,2.0,12,2,16.0,,16.0,,2.0,6.0,0.0,,,,2.0,,0.0,4.0,2.0,6,10.0,6,12.0,4.0,,10,,4.0,2.0,4.0,6.0,2,,6.0,2.0,4,,2.0,,,,4,0.0,14.0,6.0,10.0,8.0,0,,,,0.0,2,,,4.0,,,10,,8.0,22,2.0,8.0,0.0,4.0,4.0,6.0,4.0,,0,,,,,,2.0,,2.0,8.0,2.0,,,4,0.0,2,,2.0,,0.0,4.0,,10.0,6,2.0,,0.0,,,2.0,6.0,,,4.0,4.0,,4.0,,,8,0.0,2.0,4.0,,10.0,,2.0,0.0,0,0.0,4.0,4.0,0.0,,4.0,6.0,,0.0,10.0,0,0.0,8.0,0.0,14.0,,,,0.0,4.0,4.0,6.0,,,0.0,,,4.0,6,4.0,0,2.0,0.0,0.0,,10.0,,,4.0,0.0,4.0,,,6.0,8,0.0,0.0,12.0,4.0,,,6.0,6.0,54,0.0,8.0,,2.0,2.0,0.0,16,0.0,,,,,4,6.0,8.0,2.0,24,,,16.0,4.0,4.0,8,,12.0,0.0,8.0,0.0,2.0,2.0,,2.0,,6.0,,,10.0,,4,,0.0,0.0,4.0,,,2,0.0,2.0,,0.0,2.0,,,0.0,,6.0,,4.0,,2.0,,,2.0,,,0.0,8.0,34.0,,2.0,,,,,2.0,,,,,6.0,0.0,2.0,,,0.0,6.0,,,,4.0,,,,,,,,
4,,0.0,12,2,6.0,,6.0,,0.0,2.0,0.0,,,,0.0,,4.0,0.0,,0,2.0,2,6.0,0.0,,2,,2.0,,2.0,0.0,4,,2.0,4.0,0,,0.0,,,,0,4.0,16.0,2.0,4.0,2.0,2,,,,,0,,,,,,6,,2.0,24,2.0,2.0,4.0,0.0,,8.0,,,2,,,,,,2.0,,2.0,2.0,0.0,,,4,0.0,4,,,,,0.0,,2.0,0,0.0,,6.0,,,2.0,0.0,,,6.0,,,,,,0,0.0,2.0,10.0,,2.0,,0.0,0.0,0,,0.0,2.0,,,0.0,0.0,,2.0,6.0,0,0.0,,0.0,4.0,,,,0.0,4.0,2.0,2.0,,,,,,2.0,4,0.0,0,4.0,0.0,2.0,,4.0,,,2.0,,8.0,,,0.0,0,,0.0,2.0,0.0,,,2.0,2.0,28,4.0,24.0,,0.0,8.0,0.0,4,0.0,,,,,2,0.0,0.0,2.0,12,,,2.0,0.0,0.0,4,,0.0,0.0,2.0,2.0,12.0,,,4.0,,8.0,,,8.0,,6,,2.0,,4.0,,,2,2.0,0.0,,8.0,0.0,,,2.0,,4.0,,2.0,,2.0,,,4.0,,,,2.0,16.0,,0.0,,,,,0.0,,,,,0.0,0.0,2.0,,,0.0,4.0,,,,0.0,,,,,,,,
2,,0.0,8,0,12.0,,6.0,,0.0,2.0,,,,,0.0,,0.0,2.0,,0,0.0,2,2.0,0.0,,4,,2.0,,2.0,0.0,2,,2.0,0.0,8,,0.0,,,,0,0.0,10.0,0.0,6.0,0.0,0,,,,,2,,,,,,8,,12.0,24,0.0,2.0,0.0,2.0,,6.0,,,0,,,,,,2.0,,0.0,,,,,0,0.0,2,,,,,0.0,,8.0,4,,,0.0,,,2.0,0.0,,,0.0,,,,,,0,0.0,0.0,6.0,,6.0,,0.0,0.0,0,,0.0,,,,2.0,0.0,,4.0,,0,0.0,,0.0,2.0,,,,2.0,4.0,0.0,0.0,,,,,,0.0,4,0.0,0,0.0,,2.0,,6.0,,,0.0,,0.0,,,0.0,0,,0.0,4.0,0.0,,,0.0,,20,0.0,14.0,,0.0,14.0,0.0,6,,,,,,4,4.0,0.0,0.0,2,,,2.0,0.0,2.0,10,,0.0,0.0,4.0,0.0,4.0,,,2.0,,18.0,,,6.0,,4,,,,2.0,,,0,,4.0,,0.0,0.0,,,0.0,,0.0,,,,6.0,,,2.0,,,,10.0,16.0,,0.0,,,,,0.0,,,,,2.0,0.0,0.0,,,0.0,,,,,,,,,,,,,
2,,,8,0,2.0,,4.0,,,2.0,,,,,0.0,,6.0,2.0,,2,,0,0.0,0.0,,2,,0.0,,,0.0,0,,0.0,2.0,2,,2.0,,,,0,0.0,12.0,2.0,2.0,,0,,,,,0,,,,,,0,,6.0,6,0.0,2.0,,0.0,,6.0,,,2,,,,,,2.0,,0.0,,,,,6,,0,,,,,0.0,,0.0,2,,,0.0,,,0.0,0.0,,,,,,,,,0,,,0.0,,4.0,,,,0,,0.0,,,,0.0,2.0,,0.0,,0,,,2.0,0.0,,,,,0.0,0.0,0.0,,,,,,0.0,4,0.0,0,0.0,,0.0,,4.0,,,0.0,,0.0,,,,4,,4.0,8.0,0.0,,,0.0,,16,0.0,6.0,,,12.0,0.0,0,,,,,,6,0.0,0.0,,4,,,0.0,2.0,0.0,4,,2.0,,0.0,0.0,0.0,,,,,,,,0.0,,0,,,,4.0,,,0,,0.0,,0.0,0.0,,,,,0.0,,,,4.0,,,0.0,,,,2.0,6.0,,0.0,,,,,2.0,,,,,4.0,0.0,0.0,,,0.0,,,,,,,,,,,,,
0,,,6,0,8.0,,2.0,,,0.0,,,,,,,0.0,,,0,,0,0.0,8.0,,0,,0.0,,,0.0,2,,,0.0,2,,,,,,2,0.0,4.0,0.0,0.0,,0,,,,,0,,,,,,6,,,6,0.0,,,,,4.0,,,0,,,,,,2.0,,0.0,,,,,4,,0,,,,,0.0,,4.0,6,,,0.0,,,,0.0,,,,,,,,,0,,,2.0,,0.0,,,,0,,2.0,,,,2.0,2.0,,0.0,,0,,,,0.0,,,,,4.0,0.0,,,,,,,,0,,0,0.0,,2.0,,14.0,,,0.0,,,,,,0,,0.0,2.0,0.0,,,0.0,,12,2.0,14.0,,,4.0,0.0,0,,,,,,0,0.0,,,0,,,0.0,2.0,0.0,2,,2.0,,2.0,4.0,4.0,,,,,,,,0.0,,4,,,,0.0,,,0,,2.0,,0.0,,,,,,0.0,,,,0.0,,,0.0,,,,0.0,16.0,,0.0,,,,,0.0,,,,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,
0,,,4,2,0.0,,2.0,,,0.0,,,,,,,0.0,,,0,,0,0.0,,,0,,0.0,,,0.0,4,,,2.0,2,,,,,,4,8.0,2.0,,0.0,,0,,,,,0,,,,,,0,,,8,,,,,,2.0,,,0,,,,,,,,0.0,,,,,0,,2,,,,,,,0.0,0,,,0.0,,,,0.0,,,,,,,,,0,,,,,4.0,,,,0,,,,,,,0.0,,0.0,,2,,,,2.0,,,,,0.0,0.0,,,,,,,,0,,2,2.0,,,,,,,0.0,,,,,,2,,,0.0,2.0,,,,,18,0.0,4.0,,,0.0,,2,,,,,,0,,,,0,,,8.0,0.0,,4,,0.0,,,,0.0,,,,,,,,,,0,,,,0.0,,,0,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,0.0,6.0,,,,,,,0.0,,,,,0.0,,0.0,,,2.0,,,,,,,,,,,,,
0,,,0,2,0.0,,0.0,,,0.0,,,,,,,0.0,,,2,,0,0.0,,,0,,0.0,,,0.0,0,,,0.0,4,,,,,,0,0.0,6.0,,4.0,,0,,,,,0,,,,,,4,,,2,,,,,,0.0,,,0,,,,,,,,0.0,,,,,0,,2,,,,,,,0.0,2,,,0.0,,,,0.0,,,,,,,,,0,,,,,2.0,,,,0,,,,,,,0.0,,0.0,,0,,,,0.0,,,,,0.0,0.0,,,,,,,,0,,2,0.0,,,,,,,,,,,,,0,,,0.0,0.0,,,,,2,0.0,6.0,,,0.0,,0,,,,,,0,,,,0,,,2.0,2.0,,2,,0.0,,,,0.0,,,,,,,,,,0,,,,0.0,,,0,,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,10.0,,,,,,,0.0,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,
0,,,0,0,0.0,,0.0,,,0.0,,,,,,,0.0,,,0,,0,,,,0,,0.0,,,0.0,4,,,0.0,4,,,,,,2,0.0,0.0,,,,0,,,,,0,,,,,,4,,,12,,,,,,0.0,,,0,,,,,,,,0.0,,,,,0,,0,,,,,,,2.0,4,,,0.0,,,,0.0,,,,,,,,,0,,,,,0.0,,,,0,,,,,,,0.0,,0.0,,0,,,,0.0,,,,,0.0,0.0,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,2.0,0.0,,,,,16,0.0,4.0,,,0.0,,0,,,,,,2,,,,0,,,0.0,0.0,,2,,0.0,,,,,,,,,,,,,,2,,,,0.0,,,0,,,,0.0,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,
0,,,10,0,2.0,,2.0,,,,,,,,,,2.0,,,0,,4,,,,0,,,,,0.0,0,,,0.0,0,,,,,,0,,,,,,0,,,,,0,,,,,,2,,,12,,,,,,,,,0,,,,,,,,,,,,,2,,4,,,,,,,0.0,2,,,,,,,0.0,,,,,,,,,0,,,,,0.0,,,,0,,,,,,,,,,,0,,,,2.0,,,,,0.0,0.0,,,,,,,,0,,0,,,,,,,,,,,,,,2,,,,0.0,,,,,8,2.0,,,,2.0,,4,,,,,,0,,,,0,,,,,,2,,0.0,,,,,,,,,,,,,,0,,,,0.0,,,0,,,,2.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
0,,,0,0,,,,,,,,,,,,,,,,0,,0,,,,0,,,,,0.0,2,,,4.0,0,,,,,,0,,,,,,0,,,,,0,,,,,,0,,,10,,,,,,,,,0,,,,,,,,,,,,,0,,0,,,,,,,0.0,0,,,,,,,0.0,,,,,,,,,0,,,,,2.0,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,,0.0,,,,,0,0.0,,,,0.0,,0,,,,,,2,,,,0,,,,,,0,,0.0,,,,,,,,,,,,,,0,,,,2.0,,,0,,,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,2,0,,,,,,,,,,,,,,,,0,,0,,,,0,,,,,0.0,0,,,0.0,0,,,,,,0,,,,,,0,,,,,0,,,,,,0,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,0,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,,0.0,,,,,0,,,,,,,0,,,,,,2,,,,2,,,,,,0,,0.0,,,,,,,,,,,,,,0,,,,0.0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,2,2,,,,,,,,,,,,,,,,0,,0,,,,0,,,,,,0,,,,0,,,,,,0,,,,,,0,,,,,0,,,,,,0,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,0,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,2,,,,,,0,,,,4,,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
