openwebbeans,jena,shindig,sanselan,skywalking,wave,tajo,ratis,mrunit,hama,datasketches,awf,tamaya,devicemap,ambari,singa,guacamole,wookie,tashi,shardingsphere,myriad,sis,airflow,daffodil,cordova,photark,asterixdb,amaterasu,helix,river,batchee,deltacloud,gearpump,pinot,droids,jspwiki,twill,kato,systemml,clerezza,horn,wink,s4,graffito,juneau,openwhisk,gossip,odf,mesos,curator,blur,imperius,bval,lucy,nifi,predictionio,knox,usergrid,taverna,ariatosca,madlib,hawq,jackrabbit,juice,climate,sentry,echarts,zeta,shiro,vcl,cotton,pulsar,jclouds,trafficcontrol,htrace,sling,kafka,yoko,tephra,hise,solr,bookkeeper,npanday,samoa,joshua,uima,brooklyn,servicecomb,adffaces,trafodion,libcloud,wicket,vxquery,tinkerpop,johnzon,falcon,slider,carbondata,fluo,iotdb,stdcxx,rya,directory,kitty,edgent,kalumet,warble,openmeetings,allura,unomi,gobblin,bigtop,nuvem,empire,oodt,tika,bluesky,roller,olio,quickstep,qpid,click,xmlbeans,mod_ftp,abdera,felix,isis,datafu,gora,openaz,oltu,marmotta,esme,superset,metron,deltaspike,etch,s2graph,pig,mnemonic,heraldry,bloodhound,stratos,derby,chukwa,dolphinscheduler,agila,drill,sirona,ignite,zeppelin,pdfbox,plc4x,lokahi,omid,ant,lucenenet,triplesoup,synapse,flume,mrql,griffin,aurora,depot,iceberg,apisix,celix,iota,freemarker,geode,ace,any23,mynewt,weex,ibatis,harmony,ripple,druid,kylin,directmemory,atlas,spark,groovy,rocketmq,lenya,geronimo,commonsrdf,stonehenge,rcf,netbeans,dubbo,giraph,tuscany,beam,cmda,oozie,tez,couchdb,servicemix,streams,manifoldcf,stanbol,whirr,ranger,impala,cxf,activemq,hudi,hdt,juddi,nmaven,cassandra,fineract,pubscribe,thrift,trafficserver,parquet,rave,openjpa,pirk,airavata,cloudstack,olingo,alois,apex,commons,samza,ivy,ftpserver,metamodel,buildr,eagle,crunch,aries,pivot,hcatalog,kudu,provisionr,ode,accumulo,calcite,socialsite,openoffice,tvm,xap,concerted,jdo,ctakes,onami,corinthia,syncope,sqoop,myfaces,lens,nutch,flink,opennlp,struts,muse,beehive,storm,reef,chemistry,cayenne,flex,ofbiz,spamassassin,zipkin,phoenix,tapestry,subversion,kabuki
-1,-1,224,-1,-1,102,-1,14,-1,12,-1,-1,26,10,134,2,-1,20,0,-1,4,22,464,10,-1,22,-1,0,-1,524,20,-1,4,20,2,116,20,2,-1,36,-1,36,108,4,-1,106,38,18,40,-1,40,22,-1,-1,-1,-1,-1,-1,60,-1,-1,88,-1,12,-1,76,62,-1,216,88,-1,-1,-1,-1,24,-1,-1,-1,12,6,-1,-1,8,20,16,116,-1,-1,-1,172,-1,-1,0,-1,-1,-1,32,-1,-1,-1,62,74,-1,-1,22,12,0,-1,-1,16,20,-1,12,18,-1,-1,14,-1,2,18,250,-1,-1,-1,110,-1,40,14,-1,-1,10,-1,38,188,-1,-1,80,12,-1,-1,-1,-1,-1,-1,30,-1,-1,390,6,-1,-1,-1,-1,24,16,122,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,12,6,12,-1,48,-1,-1,44,-1,-1,72,-1,-1,-1,212,-1,-1,-1,-1,-1,-1,10,-1,1106,-1,-1,396,-1,-1,-1,-1,-1,-1,26,42,-1,-1,144,-1,-1,-1,-1,38,-1,-1,-1,-1,-1,212,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,258,-1,-1,74,-1,30,-1,48,-1,-1,24,10,136,0,-1,52,18,-1,22,72,666,42,-1,16,-1,-1,-1,36,30,-1,12,12,118,78,6,0,-1,28,-1,22,10,40,-1,130,26,34,88,-1,28,18,-1,-1,-1,-1,-1,-1,80,-1,-1,56,-1,4,-1,72,72,-1,56,70,-1,-1,-1,-1,24,-1,-1,-1,4,20,-1,-1,8,16,22,150,-1,-1,-1,194,-1,-1,8,-1,-1,-1,14,-1,-1,-1,46,60,-1,-1,8,2,0,-1,-1,18,26,-1,4,26,-1,-1,8,-1,14,20,298,-1,-1,-1,84,-1,58,0,-1,-1,32,-1,-1,106,-1,-1,36,0,-1,-1,-1,-1,-1,-1,34,-1,-1,510,18,-1,-1,-1,-1,0,10,94,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,26,-1,46,-1,36,-1,-1,34,-1,-1,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,-1,1070,-1,-1,340,-1,-1,-1,-1,-1,-1,32,36,-1,-1,126,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,240,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,88,-1,66,-1,12,-1,-1,24,34,-1,0,-1,42,20,-1,88,20,436,68,-1,14,-1,-1,-1,214,2,-1,10,0,24,90,38,2,-1,50,-1,36,24,44,-1,164,-1,40,138,-1,28,12,-1,-1,-1,-1,-1,-1,22,-1,-1,174,-1,-1,-1,146,36,-1,174,130,-1,-1,-1,-1,4,-1,-1,-1,10,-1,-1,-1,6,0,18,128,-1,-1,-1,170,-1,-1,0,-1,-1,-1,66,-1,-1,-1,60,38,-1,-1,14,6,0,-1,-1,14,16,-1,0,16,-1,-1,22,-1,2,4,408,-1,-1,-1,36,-1,-1,6,-1,-1,48,-1,-1,178,-1,-1,22,6,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,10,-1,-1,-1,-1,0,2,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,40,-1,52,-1,24,-1,-1,26,-1,-1,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,936,-1,-1,552,-1,-1,-1,-1,-1,-1,48,54,-1,-1,68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,420,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,46,-1,8,-1,8,-1,-1,18,34,-1,0,-1,50,0,-1,6,42,924,40,-1,34,-1,-1,-1,82,12,-1,0,70,62,62,4,0,-1,18,-1,20,22,18,-1,202,-1,24,194,-1,28,26,-1,-1,-1,-1,-1,-1,38,-1,-1,68,-1,-1,-1,102,72,-1,-1,106,-1,-1,-1,-1,22,-1,-1,-1,12,-1,-1,-1,6,10,2,104,-1,-1,-1,112,-1,-1,0,-1,-1,-1,6,-1,-1,-1,-1,82,-1,-1,0,0,-1,-1,-1,2,10,-1,-1,36,-1,-1,2,-1,4,4,-1,-1,-1,-1,44,-1,-1,2,-1,-1,14,-1,-1,66,-1,-1,8,2,-1,-1,-1,-1,-1,-1,84,-1,-1,-1,0,-1,-1,-1,-1,8,4,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,16,-1,62,-1,22,-1,-1,38,-1,-1,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1124,-1,-1,758,-1,-1,-1,-1,-1,-1,24,-1,-1,-1,278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,506,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,506,-1,58,-1,26,-1,-1,20,44,-1,2,-1,20,14,-1,14,74,530,24,-1,8,-1,-1,-1,260,4,-1,-1,54,40,50,44,6,-1,56,-1,20,8,-1,-1,250,-1,40,-1,-1,18,4,-1,-1,-1,-1,-1,-1,6,-1,-1,188,-1,-1,-1,170,100,-1,-1,142,-1,-1,-1,-1,26,-1,-1,-1,8,-1,-1,-1,8,6,10,224,-1,-1,-1,290,-1,-1,24,-1,-1,-1,22,-1,-1,-1,-1,76,-1,-1,10,2,-1,-1,-1,14,4,-1,-1,24,-1,-1,2,-1,0,8,-1,-1,-1,-1,-1,-1,-1,20,-1,-1,58,-1,-1,68,-1,-1,16,16,-1,-1,-1,-1,-1,-1,44,-1,-1,-1,6,-1,-1,-1,-1,10,8,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,20,-1,-1,-1,132,-1,-1,36,-1,-1,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,1142,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,144,-1,20,-1,44,-1,-1,20,42,-1,0,-1,36,14,-1,48,-1,-1,30,-1,20,-1,-1,-1,30,0,-1,-1,186,12,62,-1,2,-1,38,-1,14,24,-1,-1,-1,-1,30,-1,-1,4,4,-1,-1,-1,-1,-1,-1,14,-1,-1,400,-1,-1,-1,-1,186,-1,-1,46,-1,-1,-1,-1,8,-1,-1,-1,8,-1,-1,-1,6,2,-1,194,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,18,-1,-1,-1,-1,22,-1,-1,22,6,-1,-1,-1,22,0,-1,-1,22,-1,-1,8,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,90,-1,-1,4,2,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,4,-1,-1,-1,-1,16,14,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,36,-1,-1,-1,-1,-1,-1,14,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,82,-1,86,-1,50,-1,-1,24,36,-1,0,-1,40,0,-1,2,-1,-1,34,-1,28,-1,-1,-1,176,18,-1,-1,-1,28,36,-1,6,-1,14,-1,18,-1,-1,-1,-1,-1,22,-1,-1,20,2,-1,-1,-1,-1,-1,-1,24,-1,-1,210,-1,-1,-1,-1,118,-1,-1,90,-1,-1,-1,-1,68,-1,-1,-1,2,-1,-1,-1,12,4,-1,196,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,38,-1,-1,-1,-1,8,-1,-1,24,0,-1,-1,-1,18,16,-1,-1,6,-1,-1,0,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,164,-1,-1,10,12,-1,-1,-1,-1,-1,-1,44,-1,-1,-1,6,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,70,-1,-1,-1,-1,-1,-1,42,-1,-1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,360,-1,10,-1,70,-1,-1,24,-1,-1,0,-1,44,8,-1,42,-1,-1,22,-1,10,-1,-1,-1,84,14,-1,-1,-1,12,38,-1,6,-1,92,-1,22,-1,-1,-1,-1,-1,16,-1,-1,34,4,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,-1,-1,-1,-1,2,-1,-1,-1,14,-1,-1,-1,4,8,-1,126,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,26,-1,-1,-1,-1,78,-1,-1,6,2,-1,-1,-1,54,0,-1,-1,34,-1,-1,50,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,38,-1,-1,12,22,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,6,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,24,-1,-1,-1,-1,-1,-1,6,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,256,-1,28,-1,72,-1,-1,14,-1,-1,18,-1,40,12,-1,26,-1,-1,52,-1,8,-1,-1,-1,130,0,-1,-1,-1,4,18,-1,12,-1,74,-1,4,-1,-1,-1,-1,-1,6,-1,-1,8,4,-1,-1,-1,-1,-1,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,134,-1,-1,-1,-1,8,-1,-1,-1,0,-1,-1,-1,0,0,-1,134,-1,-1,-1,-1,-1,-1,20,-1,-1,-1,6,-1,-1,-1,-1,26,-1,-1,28,0,-1,-1,-1,24,4,-1,-1,10,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,-1,-1,-1,-1,-1,56,-1,-1,0,4,-1,-1,-1,-1,-1,-1,20,-1,-1,-1,0,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,26,-1,-1,-1,-1,-1,-1,0,-1,-1,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,60,-1,70,-1,40,-1,-1,30,-1,-1,20,-1,18,4,-1,14,-1,-1,36,-1,0,-1,-1,-1,188,8,-1,-1,-1,4,40,-1,20,-1,-1,-1,92,-1,-1,-1,-1,-1,32,-1,-1,22,2,-1,-1,-1,-1,-1,-1,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,-1,-1,-1,-1,2,-1,-1,-1,18,-1,-1,-1,28,10,-1,164,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,8,-1,-1,-1,-1,28,-1,-1,2,4,-1,-1,-1,48,30,-1,-1,24,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,-1,-1,-1,-1,-1,142,-1,-1,16,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,30,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,56,-1,42,-1,82,-1,-1,20,-1,-1,2,-1,-1,18,-1,0,-1,-1,82,-1,24,-1,-1,-1,102,4,-1,-1,-1,6,48,-1,0,-1,-1,-1,22,-1,-1,-1,-1,-1,14,-1,-1,2,12,-1,-1,-1,-1,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,-1,-1,-1,-1,84,-1,-1,-1,2,-1,-1,-1,16,6,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,8,-1,-1,-1,-1,14,-1,-1,6,4,-1,-1,-1,-1,4,-1,-1,16,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,370,-1,-1,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,26,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,22,-1,40,-1,26,-1,-1,22,-1,-1,0,-1,-1,22,-1,10,-1,-1,-1,-1,28,-1,-1,-1,70,8,-1,-1,-1,12,96,-1,0,-1,-1,-1,10,-1,-1,-1,-1,-1,4,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,232,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,14,6,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,6,-1,-1,-1,-1,6,-1,-1,28,0,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,-1,-1,-1,-1,-1,-1,-1,-1,8,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,26,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,88,-1,28,-1,24,-1,-1,8,-1,-1,8,-1,-1,0,-1,14,-1,-1,-1,-1,20,-1,-1,-1,208,10,-1,-1,-1,14,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,24,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,6,-1,-1,-1,-1,4,-1,-1,-1,0,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,10,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,60,-1,18,-1,70,-1,-1,28,-1,-1,20,-1,-1,10,-1,0,-1,-1,-1,-1,38,-1,-1,-1,224,2,-1,-1,-1,0,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,28,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,2,-1,-1,-1,-1,-1,-1,-1,-1,22,-1,-1,-1,10,-1,-1,-1,-1,34,-1,-1,-1,0,-1,-1,-1,-1,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,52,-1,120,-1,76,-1,-1,48,-1,-1,4,-1,-1,0,-1,22,-1,-1,-1,-1,20,-1,-1,-1,470,12,-1,-1,-1,36,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,4,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,8,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,30,-1,-1,50,-1,-1,-1,-1,0,-1,-1,-1,-1,2,-1,-1,-1,-1,18,-1,-1,-1,4,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,52,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,12,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,106,-1,-1,-1,-1,-1,-1,28,-1,-1,8,-1,-1,-1,-1,0,-1,-1,-1,-1,30,-1,-1,-1,-1,6,-1,-1,-1,4,76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,2,-1,-1,-1,-1,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
