Slider,Tephra,OpenWebBeans,Etch,Tashi,Ambari,Chukwa,stdcxx,NMaven,Taverna,Olingo,SINGA,OpenOffice.org,Jackrabbit,SAMOA,Gobblin,Atlas,OFBiz,Thrift,Olio,Pivot,Edgent,EasyAnt,CouchDB,NPanday,Hadoop Development Tools (HDT),Iceberg,Allura,Wink,Yoko,Sling,Joshua,ODF Toolkit,OpenWhisk,Omid,Trafodion,HTrace,Droids,DataFu,VXQuery,Traffic Control,Stonehenge,Streams,JSPWiki,Imperius,Shiro,Zipkin,Daffodil,Alois,Roller,Sentry,Tez,UIMA,ManifoldCF,Isis,Lucy,Jena,Wookie,Sirona,Oozie,PhotArk,TinkerPop,HAWQ,iBATIS,Amber,OpenAz,OpenNLP,Gearpump,Usergrid,ESME,Bloodhound,Knox,Felix,Apex,Qpid,Kitty,Onami,OODT,SIS,Bean Validation,Celix,Clerezza,Zeppelin,Muse,Hama,Mynewt,Gossip,DeviceMap,PLC4X,Quickstep,Unomi,AriaTosca,Mesos,Ranger,Brooklyn,Sanselan,Buildr,ECharts,Rya,DeltaSpike,Ode,Libcloud,HORN,Superset,XAP,Tajo,Wave,Dubbo,Stratos,Aurora,SystemML,Metron,Whirr,MRQL,Mnemonic,Druid,MRUnit,MyFaces,DistributedLog,Shindig,PDFBox,MADlib,Stanbol,VCL,Kudu,Synapse,Kafka,iota,River,Pig,Click,SkyWalking,Open Climate Workbench,Kalumet,Graffito,ActiveMQ,Myriad,Calcite,Deltacloud,Abdera,Beam,Pulsar,Drill,Empire-db,Lens,cTAKES,Fluo,OGNL,Blur,Samza,HCatalog,Falcon,Hermes,Derby,Zeta Components,mod_ftp,Geode,Ripple,ACE,Provisionr,Bigtop,Airavata,DataSketches,CommonsRDF,Tamaya,Pinot,Trinidad,AWF,NiFi,Eagle,BatchEE,Flex,Aries,Storm,Twill,Syncope,Any23,JDO,Kato,Sqoop,Tika,Amaterasu,Lucene.NET,Corinthia,Giraph,Solr,Ivy,Fineract,REEF,Cordova,Curator,Impala,FtpServer,Chemistry,CXF,APISIX,Helix,IoTDB,DolphinScheduler,Parquet,Nuvem,S4,Openmeetings,Kylin,Rave,Lokahi,Ratis,ShardingSphere,DirectMemory,TVM,Beehive,Agila,Tuscany,Griffin,Juneau,Johnzon,Cayenne,Bluesky,Spark,Cassandra,Subversion,ServiceComb,Heraldry,AsterixDB,Flink,Concerted,Traffic Server,FreeMarker,Gora,Warble,NetBeans,TripleSoup,Phoenix,CarbonData,Ignite,Flume,Guacamole,CloudStack,Pirk,Climate Model Diagnostic Analyzer,Crunch,WebWork 2,S2Graph
0.10596026490066225,0.05555555555555555,0.1625659050966608,0.0,0.09090909090909091,0.13736931680038902,0.5,0.12917933130699089,0.09444444444444444,0.01858736059479554,0.5,0.04316546762589928,0.5,0.1550751879699248,0.0,0.07596253902185224,0.5,0.0,0.08312128922815945,0.11529411764705882,0.0,0.20689655172413793,0.5,0.5,0.5,0.0,0.5,0.16639344262295083,0.11042183622828784,0.12373968835930339,0.5,0.5,0.5,0.10912290994426518,0.0,0.06528018486424032,0.5,0.5,0.5,0.0,0.07931034482758621,0.5,0.5,0.25756798358132377,0.0,0.11337868480725624,0.0,0.14800389483933787,0.0,0.5,0.08876811594202899,0.20634920634920634,0.5,0.5,0.5,0.27721866422689845,0.16588712192079824,0.19272727272727272,0.5,0.04006968641114982,0.06521739130434782,0.5,0.5,0.0,0.5,0.0,0.23112767940354148,0.14285714285714285,0.0579185520361991,0.5,0.049145299145299144,0.0,0.5,0.5,0.1337140137996669,0.0,0.5,0.0,0.0,0.5,0.23148148148148148,0.10473815461346633,0.0,0.0,0.2928870292887029,0.5,0.003937007874015748,0.5,0.5,0.16167664670658682,0.0,0.1532258064516129,0.04974048442906574,0.5,0.5,0.5,0.5,0.05090909090909091,0.06474820143884892,0.5,0.5,0.5,0.5,0.12812276945039258,0.05417185554171856,0.5,0.04696132596685083,0.05919439579684763,0.5,0.16281971303805365,0.5,0.5,0.21763085399449036,0.21739130434782608,0.5,0.038612308898471184,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.22517482517482518,0.09433962264150944,0.017543859649122806,0.5,0.12787488500459981,0.5,0.5,0.0,0.1752411575562701,0.5,0.004166666666666667,0.06418219461697723,0.18528610354223432,0.5,0.0,0.10305343511450382,0.016260162601626018,0.5,0.0,0.5,0.104,0.5,0.15730337078651685,0.0970873786407767,0.08144329896907217,0.09073724007561437,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0872093023255814,0.5,0.13157894736842105,0.5,0.10359281437125749,0.5,0.5,0.06694686280396277,0.0343980343980344,0.5,0.5,0.5,0.01020408163265306,0.0,0.5,0.0,0.265625,0.5,0.0,0.5,0.17929050814956854,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.06794682422451995,0.0,0.5,0.05775862068965517,0.0945945945945946,0.0,0.5,0.5,0.5,0.010115477575866082,0.0,0.0,0.15873015873015872,0.0,0.12304866850321396,0.0,0.5,0.5,0.5,0.0,0.5,0.1322820849759089,0.0,0.0,0.0,0.0,0.19334389857369255,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.04247990815154994,0.0,0.5,0.0,0.0,0.0196078431372549,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
0.11170212765957446,0.015151515151515152,0.0,0.09621993127147767,0.0,0.11324786324786325,0.13286713286713286,0.08796296296296297,0.005714285714285714,0.06315789473684211,0.11976744186046512,0.12478632478632479,0.015518913676042677,0.04138702460850112,0.0,0.07593123209169055,0.15120967741935484,-1.0,0.11574074074074074,0.0,-1.0,0.16666666666666666,0.08346972176759411,0.2127659574468085,0.040740740740740744,0.0,0.2203309692671395,0.17232704402515722,0.012006861063464836,0.06293706293706294,0.17177589852008457,0.061046511627906974,0.09454545454545454,0.10986011600136472,0.15337423312883436,0.10511033681765389,0.1331877729257642,0.0,0.004608294930875576,0.0,0.09381663113006397,0.05718475073313783,0.0,0.2411630558722919,0.008849557522123894,0.1590909090909091,-1.0,0.1440443213296399,-1.0,0.2908366533864542,0.07286821705426356,0.0,0.1034618410700236,0.2356828193832599,0.1892156862745098,0.08993288590604027,0.0,0.1725,0.030405405405405407,0.0,0.1111111111111111,0.16075949367088607,0.0784313725490196,-1.0,0.01702127659574468,0.0,0.0,0.010752688172043012,0.08614976805831677,0.17391304347826086,0.0,-1.0,0.08501440922190202,0.07643312101910828,0.15384615384615385,-1.0,0.0,-1.0,0.0,0.03928170594837262,0.125,0.15,-1.0,-1.0,0.15,0.0,0.0,0.0,0.25673534072900156,0.08540925266903915,0.0,0.0,0.1377079482439926,0.036905606813342796,0.0,0.21236559139784947,0.29476584022038566,0.04129662522202487,0.005235602094240838,0.11596958174904944,0.0445360824742268,0.1417910447761194,0.0,0.13173198482932996,0.06694560669456066,0.08727272727272728,0.03560830860534125,0.0,0.07897153351698806,0.0,0.10996563573883161,0.03824362606232295,0.0,0.2087912087912088,0.10559006211180125,0.0,0.0,0.0,0.033962264150943396,0.07220216606498195,0.010471204188481676,0.04878048780487805,0.10770105143506678,0.17735849056603772,-1.0,0.13039934800325997,0.0,0.0,0.0016474464579901153,0.21380846325167038,0.0,0.16464646464646465,0.18691588785046728,0.0,0.14691943127962084,0.14052784302887936,0.0,0.0,0.0,0.19834710743801653,0.0,0.0,0.04148471615720524,0.04734848484848485,-1.0,0.08934707903780069,0.0,0.0,0.13517241379310344,0.0,0.08945260347129506,0.08486562942008487,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.014705882352941176,0.0,0.0,0.07885462555066079,0.037894736842105266,0.0,0.12871287128712872,0.050333846944016436,0.0,0.0,0.04894283476898982,0.011049723756906077,0.0,-1.0,0.10626398210290827,-1.0,0.24181360201511334,0.12623985572587917,-1.0,0.06263345195729537,0.0,0.05319148936170213,0.06878306878306878,0.0,0.05889803673210893,0.04084507042253521,0.08620689655172414,0.21149897330595482,-1.0,0.02510460251046025,0.0,-1.0,0.0,0.07233626588465299,0.0,-1.0,0.14045864045864045,0.07934131736526946,0.08449477351916376,0.03899966420953325,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.09717698154180239,0.18243243243243243,0.17286652078774617,-1.0,0.09787234042553192,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
0.054313099041533544,0.0,-1.0,0.046242774566473986,0.21176470588235294,0.0,0.06015037593984962,0.0815956482320943,0.0,0.0,0.0,0.2,0.041267262388302195,0.0,0.0,0.061606160616061605,0.10253998118532455,0.0,0.11222780569514237,-1.0,0.0,0.030303030303030304,0.06601466992665037,0.0,0.08088235294117647,0.0,0.039783001808318265,0.0,0.0,0.0,0.13547376664056382,0.02857142857142857,0.012195121951219513,0.08052884615384616,0.07661290322580645,0.0950446791226645,0.0875,0.027586206896551724,0.0064516129032258064,0.04149377593360996,0.0,0.15889830508474576,0.04906771344455348,0.15378006872852235,0.043478260869565216,0.21206581352833637,0.0,0.1670428893905192,0.0,0.20650863800723182,0.06278713629402756,-1.0,0.08328267477203648,0.1875,0.1311034217608612,0.0,-1.0,0.16926070038910507,0.03812316715542522,-1.0,0.22026431718061673,0.15704088254380272,0.05441696113074205,0.0,0.0,-1.0,-1.0,0.0,0.0,0.1514476614699332,-1.0,0.0,0.18468823993685873,0.0,0.13220505273485406,0.0,-1.0,0.0,0.0,0.09037900874635568,0.09181636726546906,0.035897435897435895,0.0,0.0,0.18614718614718614,-1.0,-1.0,0.12903225806451613,0.29683306494900696,0.015810276679841896,0.0,-1.0,0.21132596685082872,0.11904761904761904,-1.0,0.0,0.08411214953271028,0.12183308494783905,0.04580152671755725,0.09900990099009901,0.14208021753908906,0.060267857142857144,0.0,0.06732070365358593,0.0,0.07020408163265306,0.0027548209366391185,-1.0,0.0,-1.0,0.12119064493267187,0.08539944903581267,-1.0,0.0,0.10069444444444445,-1.0,0.0,-1.0,0.012658227848101266,0.0,0.05,0.0821917808219178,0.1321235275390003,0.22566371681415928,0.0,0.11433926897844424,-1.0,-1.0,0.0,0.0,-1.0,0.07699925724189156,0.0,0.0,0.09505703422053231,0.06958762886597938,0.05,-1.0,-1.0,0.22666666666666666,-1.0,-1.0,0.015384615384615385,0.06880733944954129,0.0,0.0,-1.0,-1.0,0.11345218800648298,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.034934497816593885,-1.0,-1.0,0.09421487603305785,0.0,-1.0,0.0,0.04180919802356518,-1.0,-1.0,0.0,0.06324110671936758,0.07111111111111111,0.0,0.09578544061302682,0.0,0.013745704467353952,0.0,0.0,0.0,-1.0,0.0,0.089058524173028,-1.0,0.1338443396226415,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0981124248081311,0.0,0.04573547589616811,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0625,0.0,0.10854816824966079,0.22631578947368422,-1.0,0.024,0.0,-1.0,-1.0,-1.0,0.16071428571428573,0.0,-1.0,-1.0,0.046182846371347785,0.05922270203578038,0.0,0.0,0.0,0.0,0.0,0.06695464362850972,-1.0,0.11071428571428571,-1.0,0.0,-1.0,0.0,-1.0,0.16588235294117648,0.0,0.06918238993710692,0.060225016545334215,0.0,0.014925373134328358,0.030927835051546393,0.05069124423963134,0.0,0.13658536585365855,-1.0,0.02030456852791878,0.09929078014184398,0.13878326996197718,0.0,0.0,0.0,0.05082592121982211,0.0,0.12444444444444444,0.12009803921568628,0.0,0.11514195583596215,0.12863070539419086,0.12716096811371494,-1.0,0.0,0.17446043165467626,0.05128205128205128,0.0,0.12690355329949238,0.0,0.06607929515418502,0.0,0.015384615384615385,0.0,0.0,0.0,-1.0,0.18689320388349515,0.0,0.0,0.08016443987667009,-1.0,0.0,0.0,0.0,0.0,0.0,0.04721030042918455,0.09111617312072894,0.047619047619047616,0.0,0.0,0.2689075630252101,0.0,0.0,0.01764705882352941,0.0,0.0,-1.0,0.0,0.0,0.09602649006622517,0.0,-1.0,0.0,0.21315591262867187,0.0196078431372549,0.0,0.0,0.0,-1.0,0.07720020586721564,-1.0,0.0,0.0030211480362537764,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.16199376947040497,0.0,-1.0,0.0,0.0,-1.0,0.11170212765957446,0.07526881720430108,0.11239749155812831,0.27380952380952384,0.0,0.0,0.0,0.0,0.03843466107617051,-1.0,0.0,0.0,-1.0,0.0,0.09045226130653267,0.0,0.0,0.0,0.0,0.25442684063373716,0.0,0.0,0.0,0.12345679012345678,0.0,-1.0,0.0,0.0,0.12172573189522343,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425531914893617,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.1388888888888889,-1.0,0.0,-1.0,0.0,-1.0,0.1810344827586207,0.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.1007502679528403,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
